Records,Avg_KeyGen_Time,Avg_SharedSecret_Time,Avg_Latency,Avg_CPU_Usage,Avg_Mem_Usage,Throughput (exchanges/sec)
100,0.727691023349762,3.153085708618164e-05,0.7277225542068482,-1.4329999999999992,-7.105427357601002e-17,31714.964083175804
500,0.7693568258285522,3.789615631103516e-05,0.7693947219848633,-1.3414000000000001,0.004999999999999985,26387.900445428695
1000,0.7276648399829865,3.973793983459473e-05,0.7277045779228211,-1.2011,-0.0020999999999999587,25164.86773502607
5000,1.3852901057720184,3.303565979003906e-05,1.3853231414318083,-1.11724,-0.00035999999999998875,30270.320204154687
