Records,Avg_Enc_Time,Avg_Dec_Time,Avg_Latency,Avg_CPU_Usage,Avg_Mem_Usage,Throughput
100,0.000544121265411377,5.2859783172607424e-05,0.0005969810485839844,0.618,-0.0020000000000000282,1837.8256163981405
500,0.00012158536911010742,5.365276336669922e-05,0.00017523813247680663,-0.1265999999999999,0.0003999999999999062,8224.673801782865
1000,0.00012443089485168456,5.390453338623047e-05,0.00017833542823791502,0.15049999999999988,0.0006999999999999816,8036.58931483174
5000,0.00011559462547302246,5.0330209732055664e-05,0.00016592483520507813,-0.007100000000000012,-0.00036000000000001504,8650.921233646633
