Algorithm,Avg_Latency,Avg_Throughput,Avg_CPU_Usage,Avg_Mem_Usage,Max_Latency,Min_Throughput,Latency_Score,Throughput_Score,CPU_Score,Mem_Score
AES,0.0002791198611259,6687.5024916648445,0.15869999999999998,-0.00031500000000005,0.0005969810485839,1837.8256163981405,0.9997263218450908,0.17456635487382396,0.0,1.0
RSA,0.010411545956134749,547.0904591701344,-0.455115,0.0007599999999999751,0.010695300912857,534.1170897440143,0.9884993082306108,0.0,0.42867618558752973,0.0
ECC,0.0036949039340018752,906.1032631445037,-0.1442,-4.999999999975534e-06,0.0037588739395141,890.7142653881292,0.9959415368458503,0.010206408985452775,0.21153933451359586,0.7116279069766817
PQC-NTRU,3.2124197483062746e-05,35722.32246153955,-0.008579999999999977,0.00061499999999995,4.003763198852539e-05,27228.667878473123,1.0,1.0,0.11682502435600628,0.1348837209302528
DH,0.9025362488865851,28384.513116946313,-1.2731849999999998,0.0006350000000000073,1.3853231414318083,25164.86773502607,0.0,0.7913927236045248,1.0,0.1162790697674092
