Algorithm,Avg_Latency,Avg_Throughput,Avg_CPU_Usage,Avg_Mem_Usage,Latency_Score,Throughput_Score,CPU_Score,Mem_Score
AES,0.000132928514480525,9939.050814269014,-0.06833499999999999,-0.0006849999999999747,0.9997032700945845,0.17834576914960326,0.4075010004298143,0.9687500000000234
RSA,0.002543006312847075,1365.859080146374,0.20661000000000004,0.000244999999999975,0.9932956006685117,0.008482163449835985,0.0,0.0
ECC,0.0030610782861709,937.7555244963089,0.19727500000000003,-4.0000000000024994e-05,0.9919182036623977,0.0,0.013835573802077894,0.2968750000000233
PQC-NTRU,2.132129669189453e-05,51408.78902696237,0.11470999999999994,-0.0007149999999999498,1.0,1.0,0.13620666656785896,1.0
DH,0.37614525,7658.68789025,-0.4681,-0.0004050000000000001,0.0,0.13316415177876834,1.0,0.6770833333333603
