Records,Avg_Enc_Time,Avg_Dec_Time,Avg_Latency,Avg_CPU_Usage,Avg_Mem_Usage,Throughput (encrypt/sec)
100,3.6725997924804686e-05,3.3116340637207033e-06,4.003763198852539e-05,-0.039000000000000076,0.0,27228.667878473123
500,2.6748180389404296e-05,3.567218780517578e-06,3.0315399169921875e-05,-0.08160000000000002,0.0007999999999999759,37385.720652464566
1000,2.627229690551758e-05,3.6325454711914064e-06,2.9904842376708986e-05,0.10780000000000003,0.0006999999999999922,38062.907236328654
5000,2.4868202209472656e-05,3.3707141876220704e-06,2.8238916397094726e-05,-0.021519999999999935,0.000960000000000003,40211.99407889186
